status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,,,,,,,,,,,,,
Satisfactory,validation-19,upgradetypes.ModuleName has been mistakenly added to SetOrderBeginBlockers,Inconsistencies when upgrading to new version,upgradetypes.ModuleName should be removed from SetOrderBeginBlockers,upgradetypes.ModuleName,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L695","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823-L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L695",validation-19,"DUPE-app-002,DUPE-app-003,DUPE-app-004,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-app-004,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001,,,,,,,,,,
Satisfactory,validation-51,Several Inconsistencies in `app.go` from cosmos 0.5.x upgrade,Inconsistencies when upgrading to new version,upgradetypes.ModuleName should be removed from SetOrderBeginBlockers,upgradetypes.ModuleName,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L695","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823-L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L695",validation-19,"DUPE-app-002,DUPE-app-003,DUPE-app-004,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-app-004,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001,,,,,,,,,,
Satisfactory,validation-28,`context.Context` should be used everywhere instead of `sdk.Context`. This can lead to incorrect interfaces.,Inconsistencies when upgrading to new version,Some BeginBlock use the old context: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/app/app.go#L1055,"insufficient proof - usage of sdk.Context throughout the codebase does not demonstrate incorrect interface usage, but accepting as partial credit dupe","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L876,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/keeper.go#L63,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L876,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/keeper.go#L63",validation-28,"DUPE-app-002,DUPE-app-003,DUPE-app-005,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-keeper-004,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-app-005,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-keeper-004,DUPE-tx-001,,,,,,,,,
Satisfactory,validation-17,"sdk.Context is still used instead of context.Context, causing interface mismatch.",Inconsistencies when upgrading to new version,Some BeginBlock use the old context: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/app/app.go#L1055,,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L876,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/keeper.go#L63,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L876,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/keeper.go#L63",validation-28,"DUPE-app-002,DUPE-app-003,DUPE-app-005,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-keeper-004,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-app-005,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-keeper-004,DUPE-tx-001,,,,,,,,,
Satisfactory,validation-16,tmbytes.HexBytes is not changed to []bytes cause incorrect interface GetDenomTrace implementation,Inconsistencies when upgrading to new version,Interface mismatch []bytes,,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L71,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L71,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L71",validation-16,"DUPE-app-002,DUPE-app-003,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-interfaces-003,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-interfaces-003,DUPE-tx-001,,,,,,,,,,
Satisfactory,validation-29,Wrong address prefix for ethermint bech32 account leads to inability to authorize users,Inconsistencies when upgrading to new version,API mismatch since v0.46.0 (project is currently using v0.45.9),,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",validation-29,"DUPE-app-002,DUPE-app-003,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001,,,,,,,,,,,
Satisfactory,findings-2,Incorrect names provided in `RegisterConcrete` calls break LegacyAmino signing method,Inconsistencies when upgrading to new version,Message mismatch with upgrade,,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L68,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L98,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L116,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/csr/v1/tx.proto#L20,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/erc20/v1/tx.proto#L133,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/erc20/v1/tx.proto#L112,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/inflation/v1/tx.proto#L26,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/onboarding/v1/tx.proto#L26,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/proto/ethermint/evm/v1/tx.proto#L173,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/feemarket/types/codec.go#L41",https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/feemarket/types/codec.go#L41,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L68,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L98,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L116,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/csr/v1/tx.proto#L20,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/erc20/v1/tx.proto#L133,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/erc20/v1/tx.proto#L112,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/inflation/v1/tx.proto#L26,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/onboarding/v1/tx.proto#L26,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/proto/ethermint/evm/v1/tx.proto#L173,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/feemarket/types/codec.go#L41,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",findings-2,"DUPE-app-002,DUPE-app-003,DUPE-codec-002,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001,DUPE-tx-002,DUPE-tx-003,DUPE-tx-004,DUPE-tx-005,DUPE-tx-006,DUPE-tx-007,DUPE-tx-008,DUPE-tx-009,DUPE-tx-010,DUPE-tx-011",DUPE-app-002,DUPE-app-003,DUPE-codec-002,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001,DUPE-tx-002,DUPE-tx-003,DUPE-tx-004,DUPE-tx-005,DUPE-tx-006,DUPE-tx-007,DUPE-tx-008,DUPE-tx-009,DUPE-tx-010,DUPE-tx-011
Satisfactory,findings-4,"Incomplete ""cosmos.msg.v1.signer"" protobuf annotation causes the ""MsgSwapOrder"" message to fail",Inconsistencies when upgrading to new version,Wrong MsgSwapOrder message structure,"""cosmos.msg.v1.signer"" protobuf annotation","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/coinswap.proto#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/coinswap.proto#L13",findings-4,"DUPE-app-002,DUPE-app-003,DUPE-coinswap-001,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-coinswap-001,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001,,,,,,,,,,
Satisfactory,validation-20,Govshuttle's RegisterLegacyAminoCodec is Implemented Incorrectly,Incorrect implementation of function,Missing code will be auto-generated by Starport (a scaffolding tool),RegisterLegacyAminoCodec,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53",findings-9,"DUPE-codec-001,DUPE-module-003",DUPE-codec-001,DUPE-module-003,,,,,,,,,,,,,,
Satisfactory,findings-9,Govshuttle module does not register it messages to LegacyAminoCodec,Incorrect implementation of function,Missing code will be auto-generated by Starport (a scaffolding tool),RegisterLegacyAminoCodec,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53",findings-9,"DUPE-codec-001,DUPE-module-003",DUPE-codec-001,DUPE-module-003,,,,,,,,,,,,,,
